run_id,variant,seed,scientific_status,training_seconds,gpu_hours,training_flops_estimate,inference_flops_estimate,moral_salience_recall,normative_conflict_f1,structural_ood_accuracy,useful_conformance_rate,purpose_accuracy,adversarial_success_rate,action_accuracy,counterfactual_consistency,capability_accuracy,ontology_degradation_accuracy,mean_action_confidence,false_confidence_rate
empirical-small-20260908T222325Z-a1-seed-11,A1,11,pilot-uncommitted,0.7332117557525635,0.0,126799920,1079390,0.46078431372549017,0.055035460992907806,0.3333333333333333,0.29411764705882354,0.39215686274509803,0.2,0.3137254901960784,0.3137254901960784,1.0,0.05,0.647538512406876,0.37254901960784315
empirical-small-20260908T222325Z-a1-seed-23,A1,23,pilot-uncommitted,0.7023260593414307,0.0,126799920,1079390,0.13725490196078433,0.014184397163120565,0.3333333333333333,0.29411764705882354,0.1568627450980392,0.2,0.3137254901960784,0.3137254901960784,1.0,0.05,0.654122878807541,0.37254901960784315
empirical-small-20260908T222325Z-a1-seed-37,A1,37,pilot-uncommitted,0.6911749839782715,0.0,126799920,1079390,0.7156862745098039,0.13694173321502515,0.3333333333333333,0.29411764705882354,0.49019607843137253,0.2,0.3137254901960784,0.3137254901960784,1.0,0.05,0.648249036739024,0.37254901960784315
empirical-small-20260908T222325Z-b-seed-11,B,11,pilot-uncommitted,0.7266871929168701,0.0,126799920,1079390,0.4215686274509804,0.04938271604938271,0.6666666666666666,0.5098039215686274,0.35294117647058826,0.2,0.5294117647058824,0.5294117647058824,1.0,0.05,0.8467239561979468,0.37254901960784315
empirical-small-20260908T222325Z-b-seed-23,B,23,pilot-uncommitted,0.7106821537017822,0.0,126799920,1079390,0.7058823529411765,0.20666666666666667,0.6666666666666666,0.5294117647058824,0.0784313725490196,0.2,0.5490196078431373,0.5490196078431373,1.0,0.05,0.8572017522723918,0.37254901960784315
empirical-small-20260908T222325Z-b-seed-37,B,37,pilot-uncommitted,1.3006978034973145,0.0,126799920,1079390,0.6470588235294118,0.253411306042885,0.6666666666666666,0.5098039215686274,0.7450980392156863,0.2,0.5294117647058824,0.5294117647058824,1.0,0.05,0.8583695331753095,0.37254901960784315
empirical-small-20260908T222325Z-c1-seed-11,C1,11,pilot-uncommitted,2.7057039737701416,0.0,126799920,1079390,0.8823529411764706,0.18740399385560674,1.0,0.5882352941176471,0.7058823529411765,0.2,0.6078431372549019,0.6078431372549019,1.0,0.05,0.9671275754372631,0.37254901960784315
empirical-small-20260908T222325Z-c1-seed-23,C1,23,pilot-uncommitted,2.9390830993652344,0.0,126799920,1079390,0.8431372549019608,0.1136231884057971,1.0,0.5882352941176471,0.058823529411764705,0.2,0.6078431372549019,0.6078431372549019,1.0,0.05,0.9568349538881384,0.37254901960784315
empirical-small-20260908T222325Z-c1-seed-37,C1,37,pilot-uncommitted,2.791804075241089,0.0,126799920,1079390,0.8431372549019608,0.24338624338624337,1.0,0.5882352941176471,0.11764705882352941,0.2,0.6078431372549019,0.6078431372549019,1.0,0.05,0.9622739269748178,0.37254901960784315
empirical-small-20260908T222325Z-c2-seed-11,C2,11,pilot-uncommitted,3.134732961654663,0.0,126799920,1079390,0.9215686274509803,1.0,1.0,0.6078431372549019,0.5490196078431373,0.2,0.6274509803921569,0.6274509803921569,1.0,0.05,0.9883153157872437,0.37254901960784315
empirical-small-20260908T222325Z-c2-seed-23,C2,23,pilot-uncommitted,3.3954660892486572,0.0,126799920,1079390,0.9215686274509803,1.0,1.0,0.6078431372549019,0.5686274509803921,0.2,0.6274509803921569,0.6274509803921569,1.0,0.05,0.9893264998071503,0.37254901960784315
empirical-small-20260908T222325Z-c2-seed-37,C2,37,pilot-uncommitted,3.7630550861358643,0.0,126799920,1079390,0.9215686274509803,1.0,1.0,0.6078431372549019,0.13725490196078433,0.2,0.6274509803921569,0.6274509803921569,1.0,0.05,0.9880795215287337,0.37254901960784315
