contrast,metric,difference,ci_low,ci_high,standardized_effect,n_seeds
A1_vs_B,moral_salience_recall,-0.15359477124183007,-0.5686274509803921,0.06862745098039214,-0.523,3
A1_vs_B,normative_conflict_f1,-0.10109969912929362,-0.1924822695035461,0.005652744943525093,-1.239,3
A1_vs_B,structural_ood_accuracy,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,NA (zero paired variance),3
A1_vs_B,useful_conformance_rate,-0.22222222222222218,-0.23529411764705882,-0.21568627450980388,-24.042,3
A1_vs_B,purpose_accuracy,-0.04575163398692813,-0.25490196078431376,0.0784313725490196,-0.308,3
A1_vs_B,adversarial_success_rate,0.0,0.0,0.0,NA (zero paired variance),3
B_vs_C1,moral_salience_recall,-0.2647058823529411,-0.46078431372549017,-0.13725490196078427,-1.881,3
B_vs_C1,normative_conflict_f1,-0.011650912296237622,-0.13802127780622403,0.09304347826086956,-0.122,3
B_vs_C1,structural_ood_accuracy,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,NA (zero paired variance),3
B_vs_C1,useful_conformance_rate,-0.07189542483660134,-0.07843137254901966,-0.05882352941176472,-7.778,3
B_vs_C1,purpose_accuracy,0.0980392156862745,-0.35294117647058826,0.6274509803921569,+0.243,3
B_vs_C1,adversarial_success_rate,0.0,0.0,0.0,NA (zero paired variance),3
C1_vs_C2,moral_salience_recall,-0.06535947712418295,-0.07843137254901955,-0.039215686274509776,-3.536,3
C1_vs_C2,normative_conflict_f1,-0.8185288581174509,-0.8863768115942029,-0.7566137566137566,-15.403,3
C1_vs_C2,structural_ood_accuracy,0.0,0.0,0.0,NA (zero paired variance),3
C1_vs_C2,useful_conformance_rate,-0.019607843137254832,-0.019607843137254832,-0.019607843137254832,NA (zero paired variance),3
C1_vs_C2,purpose_accuracy,-0.1241830065359477,-0.5098039215686274,0.1568627450980392,-0.440,3
C1_vs_C2,adversarial_success_rate,0.0,0.0,0.0,NA (zero paired variance),3
