variant,metric,n_seeds,mean,seed_stddev,bootstrap_95_ci,scope,scientific_status
A1,moral_salience_recall,3,0.43790849673202614,0.23669697989845515,"[0.13725490196078433, 0.7156862745098039]",sealed-test,pilot-uncommitted
A1,normative_conflict_f1,3,0.06872053045701784,0.05104117118116966,"[0.014184397163120565, 0.13694173321502515]",sealed-test,pilot-uncommitted
A1,structural_ood_accuracy,3,0.3333333333333333,0.0,"[0.3333333333333333, 0.3333333333333333]",sealed-test,pilot-uncommitted
A1,useful_conformance_rate,3,0.29411764705882354,0.0,"[0.29411764705882354, 0.29411764705882354]",sealed-test,pilot-uncommitted
A1,purpose_accuracy,3,0.3464052287581699,0.1398753892747235,"[0.1568627450980392, 0.49019607843137253]",sealed-test,pilot-uncommitted
A1,adversarial_success_rate,3,0.2,0.0,"[0.2, 0.2]",sealed-test,pilot-uncommitted
A1,action_accuracy,3,0.3137254901960784,0.0,"[0.3137254901960784, 0.3137254901960784]",sealed-test,pilot-uncommitted
A1,counterfactual_consistency,3,0.3137254901960784,0.0,"[0.3137254901960784, 0.3137254901960784]",sealed-test,pilot-uncommitted
A1,capability_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
A1,ontology_degradation_accuracy,3,0.05,0.0,"[0.05, 0.05]",sealed-test,pilot-uncommitted
A1,mean_action_confidence,3,0.649970142651147,0.0029507201827249263,"[0.647538512406876, 0.654122878807541]",sealed-test,pilot-uncommitted
A1,false_confidence_rate,3,0.37254901960784315,0.0,"[0.37254901960784315, 0.37254901960784315]",sealed-test,pilot-uncommitted
B,moral_salience_recall,3,0.5915032679738562,0.12253812587746847,"[0.4215686274509804, 0.7058823529411765]",sealed-test,pilot-uncommitted
B,normative_conflict_f1,3,0.16982022958631146,0.08727413258547878,"[0.04938271604938271, 0.253411306042885]",sealed-test,pilot-uncommitted
B,structural_ood_accuracy,3,0.6666666666666666,0.0,"[0.6666666666666666, 0.6666666666666666]",sealed-test,pilot-uncommitted
B,useful_conformance_rate,3,0.5163398692810457,0.009243225897863385,"[0.5098039215686274, 0.5294117647058824]",sealed-test,pilot-uncommitted
B,purpose_accuracy,3,0.39215686274509803,0.27357450374452746,"[0.0784313725490196, 0.7450980392156863]",sealed-test,pilot-uncommitted
B,adversarial_success_rate,3,0.2,0.0,"[0.2, 0.2]",sealed-test,pilot-uncommitted
B,action_accuracy,3,0.5359477124183006,0.009243225897863385,"[0.5294117647058824, 0.5490196078431373]",sealed-test,pilot-uncommitted
B,counterfactual_consistency,3,0.5359477124183006,0.009243225897863385,"[0.5294117647058824, 0.5490196078431373]",sealed-test,pilot-uncommitted
B,capability_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
B,ontology_degradation_accuracy,3,0.05,0.0,"[0.05, 0.05]",sealed-test,pilot-uncommitted
B,mean_action_confidence,3,0.8540984138818827,0.005236277154520225,"[0.8467239561979468, 0.8583695331753095]",sealed-test,pilot-uncommitted
B,false_confidence_rate,3,0.37254901960784315,0.0,"[0.37254901960784315, 0.37254901960784315]",sealed-test,pilot-uncommitted
C1,moral_salience_recall,3,0.8562091503267973,0.018486451795726718,"[0.8431372549019608, 0.8823529411764706]",sealed-test,pilot-uncommitted
C1,normative_conflict_f1,3,0.18147114188254906,0.05314139415349232,"[0.1136231884057971, 0.24338624338624337]",sealed-test,pilot-uncommitted
C1,structural_ood_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
C1,useful_conformance_rate,3,0.5882352941176471,0.0,"[0.5882352941176471, 0.5882352941176471]",sealed-test,pilot-uncommitted
C1,purpose_accuracy,3,0.29411764705882354,0.2921502828578694,"[0.058823529411764705, 0.7058823529411765]",sealed-test,pilot-uncommitted
C1,adversarial_success_rate,3,0.2,0.0,"[0.2, 0.2]",sealed-test,pilot-uncommitted
C1,action_accuracy,3,0.6078431372549019,0.0,"[0.6078431372549019, 0.6078431372549019]",sealed-test,pilot-uncommitted
C1,counterfactual_consistency,3,0.6078431372549019,0.0,"[0.6078431372549019, 0.6078431372549019]",sealed-test,pilot-uncommitted
C1,capability_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
C1,ontology_degradation_accuracy,3,0.05,0.0,"[0.05, 0.05]",sealed-test,pilot-uncommitted
C1,mean_action_confidence,3,0.9620788187667398,0.0042042093983705635,"[0.9568349538881384, 0.9671275754372631]",sealed-test,pilot-uncommitted
C1,false_confidence_rate,3,0.37254901960784315,0.0,"[0.37254901960784315, 0.37254901960784315]",sealed-test,pilot-uncommitted
C2,moral_salience_recall,3,0.9215686274509803,0.0,"[0.9215686274509803, 0.9215686274509803]",sealed-test,pilot-uncommitted
C2,normative_conflict_f1,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
C2,structural_ood_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
C2,useful_conformance_rate,3,0.6078431372549019,0.0,"[0.6078431372549019, 0.6078431372549019]",sealed-test,pilot-uncommitted
C2,purpose_accuracy,3,0.41830065359477125,0.19889051051899267,"[0.13725490196078433, 0.5686274509803921]",sealed-test,pilot-uncommitted
C2,adversarial_success_rate,3,0.2,0.0,"[0.2, 0.2]",sealed-test,pilot-uncommitted
C2,action_accuracy,3,0.6274509803921569,0.0,"[0.6274509803921569, 0.6274509803921569]",sealed-test,pilot-uncommitted
C2,counterfactual_consistency,3,0.6274509803921569,0.0,"[0.6274509803921569, 0.6274509803921569]",sealed-test,pilot-uncommitted
C2,capability_accuracy,3,1.0,0.0,"[1.0, 1.0]",sealed-test,pilot-uncommitted
C2,ontology_degradation_accuracy,3,0.05,0.0,"[0.05, 0.05]",sealed-test,pilot-uncommitted
C2,mean_action_confidence,3,0.9885737790410426,0.0005408888652849726,"[0.9880795215287337, 0.9893264998071503]",sealed-test,pilot-uncommitted
C2,false_confidence_rate,3,0.37254901960784315,0.0,"[0.37254901960784315, 0.37254901960784315]",sealed-test,pilot-uncommitted
